Chattanooga School for the Arts and Sciences,,TN
Chelan High School,,WA
Chelan Middle School,,WA
Chelmsford High School,,MA
Cheney High School,,WA
Cherry Hill High School East,,NJ
Cherry Hill High School West,,NJ
Chesapeake Math and IT Academy High School,Laurel,MD
Chesapeake Math and IT Academy Middle School,Laurel,MD
Cheshire Academy,,CT
Chesterbrook Elementary School,,VA
Chesterton Middle School,,IN
Chetek-Weyerhaeuser High School,,WI
Chetek-Weyerhaeuser Middle School,,WI
Cheyenne Central High School,,WY
Cheyenne Mountain High School,,CO
Chichester Middle School,,PA
Chief Joseph Middle School,,MT
Chilton High School,,WI
Chinook High School,,MT
Chinook Junior High School,,MT
Chinook Middle School,,WA
Chippewa Falls Senior High School,,WI
Chippewa Middle School,,MI
Chippewa Middle School,,MN
Chittenango High School,,NY
Chittenango Middle School,,NY
Choteau High School,,MT
Choteau Junior High School,,MT
Christ and Trinity Lutheran School,,MI
Christ the Teacher Catholic School,,DE
Christensen Middle School,,CA
Christian Brothers Academy,,NJ
Christian Brothers Academy,Syracuse,NY
Churchill Junior High School,,NJ
Churchill Road Elementary School,,VA
Cicero-North Syracuse High School,,NY
Cincinnati Country Day School,,OH
Cinco Ranch Junior High School,,TX
Clague Middle School,,MI
Clancy School,,MT
Clarence High School,,NY
Clarion Area Junior High School,,PA
Classical High School,,RI
Classical School,Appleton,WI
Clayton A. Bouton High School,,NY
Clear Lake High School,,WI
Cleveland Heights High School,,OH
Clinton High School,,MS
Clinton High School,,NY
Clinton High School,,SC
Clinton Middle School,,SC
Clovis North High School,,CA
Clovis West High School,,CA
Colegio de Peru,,PE
Coleman Middle School,,GA
Coleytown Middle School,,CT
Colfax High School,,WI
Colfax Middle School,,WI
Colin Powell Elementary School,,VA
Collegiate School,,NY
Collierville High School,,TN
Collins Hill High School,,GA
Colonel John Wheeler Middle School,,IN
Colony High School,,AK
Colony Middle School,,AK
Colstrip High School,,MT
Colton Junior High School,,WA
Columbia High School,,ID
Columbia High School,,NY
Columbia River High School,,WA
Columbus Academy,,OH
Colville High School,,WA
Colvin Run Elementary School,,VA
Commack High School,,NY
Community Middle School,,NJ
Comstock STEM Academy,,MI
Conard High School,,CT
Concord Christian School,,TN
Concord High School,,DE
Conestoga High School,,PA
Connect Charter School,,CO
Connetquot High School,,NY
Conrad High School,,MT
Conrad Junior High School,,MT
Conrad Schools of Science,,DE
Coolidge Middle School,,MA
Cooper Middle School,,VA
Copley High School,,OH
Copley-Fairlawn Middle School,,OH
Cornell Middle/High School,,WI
Corona del Mar High School,,CA
Corona del Mar Middle School,,CA
Cortland High School,,NY
Corvallis High School,,MT
Corvallis Middle School,,MT
County Line High School,,AR
County Line Junior High School,,AR
Coupeville High School,,WA
Covington Middle School,,WA
Cranbury School,,NJ
Cranston High School East,,RI
Cranston High School West,,RI
Crean Lutheran High School,,CA
Creekside Middle School,,CA
Crossfield Elementary School,,VA
Crossroads Middle School,,NJ
Crystal Lake Central High School,,IL
Crystal Lake South High School,,IL
Crystal Springs Uplands School,,CA
Culbertson High School,,MT
Culbertson Middle School,,MT
Cumberland High School,,RI
Cumberland Valley High School,,PA
Cunningham Park Elementary School,,VA
Curtis Senior High School,,WA
Custer County District High School,,MT
Custer Middle School,,MT
Cut Bank High School,,MT
Cut Bank Middle School,,MT
Cuyahoga Lake Homeschool,,OH
Cypress Falls High School,,TX
Cypress Woods High School,,TX
D.C. Everest Middle School,,WI
D.C. Everest Senior High School,,WI
Dailey Middle School,,TX
Dakota High School,,MI
Dallas High School,,PA
Dallas Middle School,,PA
Dana Middle School,,CA
Daniel Wright Junior High School,,IL
Dansville Middle School,,MI
Dar-Un-Noor Academy,,GA
Darien High School,,CT
Darul Arqam School,,NJ
Davidson Academy,,NV
Davidson County Homeschool,,TN
Davidson Fine Arts Academy,,GA
Davis High School,,UT
Davis Junior High School,,MI
Davison High School,,MI
Dawson County High School,,MT
Dayspring Academy,,TN
Decatur High School,,GA
Deep Creek High School,,VA
Deer Park High School,,NY
Deerfield Academy,,MA
Del Campo High School,,CA
Del Mar High School,,CA
Del Norte High School,,CA
Del Valle High School,,TX
Delano High School,,MN
Delano Middle School,,MN
Delaware Military Academy,,DE
Delaware Valley Regional High School,,NJ
Delcastle Technical High School,,DE
Delmar High School,,DE
Delmar Middle School,,DE
Delmarva Christian High School,,DE
Delta High School,,WA
Demarest Middle School,,NJ
Denmark High School,,GA
Denmark High School,,WI
Deposit Central School,,NY
Deptford High School,,NJ
Desert Mountain High School,,AZ
Detroit Country Day Middle School,,MI
